kind,level,type,rep,model,dose,r2,base
noise,1.5,Outlier p=0.05,1,Ridge,1.5338201778624907,0.6946921469658333,0.8973697977890748
noise,1.5,Outlier p=0.05,2,RF,1.492251087032284,0.7675226318299192,0.9194864335571435
noise,1.5,Outlier p=0.05,2,LGBM,1.492251087032284,0.5128075814788852,0.9212422032916183
noise,1.5,Outlier p=0.05,2,Ridge,1.492251087032284,0.7537186983921085,0.8973697977890748
censor,0.05,Censoring,0,RF,0.17079699397367146,0.9198288102145955,0.9194864335571435
censor,0.05,Censoring,0,LGBM,0.17079699397367146,0.9207897187799439,0.9212422032916183
censor,0.05,Censoring,0,Ridge,0.17079699397367146,0.8991223298059122,0.8973697977890748
censor,0.1,Censoring,0,RF,0.20112208477231933,0.9146318158139923,0.9194864335571435
censor,0.1,Censoring,0,LGBM,0.20112208477231933,0.917038513420654,0.9212422032916183
censor,0.1,Censoring,0,Ridge,0.20112208477231933,0.8930045786203714,0.8973697977890748
censor,0.15,Censoring,0,RF,0.23843977606851782,0.9040592141250131,0.9194864335571435
censor,0.15,Censoring,0,LGBM,0.23843977606851782,0.9068961063358253,0.9212422032916183
censor,0.15,Censoring,0,Ridge,0.23843977606851782,0.881831499562472,0.8973697977890748
censor,0.2,Censoring,0,RF,0.2916334127563374,0.8835902363940518,0.9194864335571435
censor,0.2,Censoring,0,LGBM,0.2916334127563374,0.883658676649483,0.9212422032916183
censor,0.2,Censoring,0,Ridge,0.2916334127563374,0.8607303575624685,0.8973697977890748
censor,0.25,Censoring,0,RF,0.357612960186925,0.8455347108236406,0.9194864335571435
censor,0.25,Censoring,0,LGBM,0.357612960186925,0.845391623114595,0.9212422032916183
censor,0.25,Censoring,0,Ridge,0.357612960186925,0.8249788817804485,0.8973697977890748
censor,0.3,Censoring,0,RF,0.44297090848646786,0.7736236405392892,0.9194864335571435
censor,0.3,Censoring,0,LGBM,0.44297090848646786,0.7761341751695108,0.9212422032916183
censor,0.3,Censoring,0,Ridge,0.44297090848646786,0.7613618236245072,0.8973697977890748
censor,0.35,Censoring,0,RF,0.5292018906905723,0.6775126332902315,0.9194864335571435
censor,0.35,Censoring,0,LGBM,0.5292018906905723,0.6768061904155531,0.9212422032916183
censor,0.35,Censoring,0,Ridge,0.5292018906905723,0.6771189810421456,0.8973697977890748
censor,0.4,Censoring,0,RF,0.5949192975665475,0.5924749998064903,0.9194864335571435
censor,0.4,Censoring,0,LGBM,0.5949192975665475,0.5940961765114394,0.9212422032916183
censor,0.4,Censoring,0,Ridge,0.5949192975665475,0.5987528440119446,0.8973697977890748
censor,0.5,Censoring,0,RF,0.7417660287623664,0.3589592477027531,0.9194864335571435
censor,0.5,Censoring,0,LGBM,0.7417660287623664,0.35991468562908346,0.9212422032916183
censor,0.5,Censoring,0,Ridge,0.7417660287623664,0.38060991708273695,0.8973697977890748
